505.5	657	1.3	10.83
501	652	1.3	14.79
492	649	1.325	16.53
472.6666667	635	1.346666667	13.79666667
464.6666667	630.6666667	1.36	13.93333333
527	670.5	1.27	16.425
522.5	664.5	1.27	15.45
435.5	620	1.425	17
456	627	1.375	16
471.8333333	633.8333333	1.343333333	15.34333333
482	640.5	1.331666667	15.18833333
524	662.5	1.265	15.955
527	657.5	1.245	16.805
515	661.5	1.285	16.805
497	645.5	1.3	17.365
506	648	1.285	17.17
500	653	1.305	17.29
520	678	1.3	13.08
534	692	1.3	12.55
505.75	647.25	1.28	17.6775
506.75	651.5	1.285	17.575
542	678	1.25	12.38
543.5	679.5	1.25	14.485
502.5	649	1.295	18.155
510	652.3333333	1.28	16.42333333
519	679	1.31	12.58
512	676	1.32	13.78
516.3333333	670	1.296666667	17.32666667
514	665	1.296666667	17.83
497.6666667	648.6666667	1.303333333	17.54
496.6666667	648.3333333	1.303333333	17.65666667
505.3333333	647.6666667	1.283333333	17.72
511.3333333	649.6666667	1.273333333	18.55666667
490	656.5	1.34	13.86
509	668.5	1.315	13.145
531.5	687.5	1.29	12.01
534.5	693.5	1.295	13.655
484	646.5	1.34	13.515
495.5	658	1.33	12.78
421	603.5	1.435	16.875
442	628	1.42	15.71
535	705.5	1.315	13.335
422	609.5	1.445	16.665
446	626	1.405	14.95
482.5	648.5	1.34	12.595
506.5	666	1.315	13.32
497.25	647.75	1.3025	18.005
497.75	648.75	1.3025	17.11
532.3333333	697	1.31	16.81666667
537.6666667	698	1.296666667	16.20333333
512.5	695	1.355	12.64
484	672	1.39	14.05
494	648.8333333	1.316666667	14.14833333
516.1666667	665.5	1.29	12.48166667
517.25	693.5	1.34	13.3725
505	682	1.35	12.7175
538	709	1.32	15.065
545	710.5	1.3	15.455
511	695	1.36	12.275
497.5	676	1.36	12.735
492.75	656.25	1.3325	13.3225
461.5	629.75	1.365	14.6325
505	683	1.355	12.96
489.5	669.5	1.37	13.1
528	678	1.29	14.09
501.25	677.75	1.355	13.9475
499.6666667	661.6666667	1.326666667	12.39
480	651.6666667	1.36	12.95
537	709.6666667	1.323333333	10.96
525.3333333	707	1.346666667	12.44333333
523.5	695	1.33	13.475
498	670	1.345	13.805
516.5	690.5	1.335	12.395
512.5	693.5	1.355	13.015
536	705.5	1.315	13.35
505	689	1.37	13.675
469.5	623.5	1.33	13.555
451	607.5	1.345	14.465
530	692.6666667	1.306666667	14.08666667
534.3333333	691.6666667	1.296666667	16.76666667
517.3333333	651.3333333	1.26	16.82333333
520.3333333	647.3333333	1.243333333	16.39666667
504	687.6666667	1.366666667	13.12333333
497	678.5	1.365	14.65
